n,c_n,comput_time -sec-,comput_time_rapport
4,244.78905452523122,0.005539655685424805,
8,247.62021675840515,0.005834102630615234,1.0531525715515386
16,236.2284890185838,0.0048711299896240234,0.8349407437678791
32,224.83787341840798,0.005614280700683594,1.1525622828055406
64,215.94895370480663,0.009873151779174805,1.758578223203669
128,209.595284281153,0.018452167510986328,1.8689237159208907
256,205.59825027012266,0.05934739112854004,3.2162829159883195
512,202.1484035551548,0.22198271751403809,3.740395547181636
1024,199.8830793350935,0.8623261451721191,3.8846544218812262
2048,198.67725828383118,3.469351291656494,4.023247249408188
4096,197.78023144137114,14.281352519989014,4.116433107922654
8192,197.25546612218022,57.10658812522888,3.998682060771147
16384,196.9166544340551,227.24817037582397,3.979368717975097
32768,196.6997278779745,926.5536527633667,4.077276623310227
65536,196.55509662628174,3687.706342935562,3.9800246126463317
131072,196.510382,14858.320412,4.029149566223914
